transition,antigen,series,arm,n,pct_inc,pct_dec,median_dlog10,p_signedrank,direction
Maternal production,PT,Total IgG,Pooled,283,70.3,29.7,0.161,0.00e+00,mostly increase
Maternal production,PT,Total IgG,TdaP,130,95.4,4.6,1.078,0.00e+00,mostly increase
Maternal production,PT,Total IgG,TT,153,49.0,51.0,-0.004,5.67e-01,mixed
Maternal production,PT,IgG1,Pooled,243,72.8,25.9,0.148,0.00e+00,mostly increase
Maternal production,PT,IgG1,TdaP,112,96.4,3.6,0.681,0.00e+00,mostly increase
Maternal production,PT,IgG1,TT,131,52.7,45.0,0.007,8.13e-01,mixed
Maternal production,PT,IgG2,Pooled,231,59.7,27.7,0.036,0.00e+00,mixed
Maternal production,PT,IgG2,TdaP,105,92.4,6.7,0.223,0.00e+00,mostly increase
Maternal production,PT,IgG2,TT,126,32.5,45.2,0.000,2.64e-01,mostly decrease
Maternal production,PT,IgG3,Pooled,237,55.7,35.0,0.042,7.00e-07,mixed
Maternal production,PT,IgG3,TdaP,109,87.2,9.2,0.168,0.00e+00,mostly increase
Maternal production,PT,IgG3,TT,128,28.9,57.0,-0.027,1.51e-04,mostly decrease
Maternal production,PT,IgG4,Pooled,243,48.6,30.0,0.000,0.00e+00,mixed
Maternal production,PT,IgG4,TdaP,112,77.7,9.8,0.087,0.00e+00,mostly increase
Maternal production,PT,IgG4,TT,131,23.7,47.3,0.000,5.47e-03,mostly decrease
Maternal production,FHA,Total IgG,Pooled,283,74.6,25.4,0.138,0.00e+00,mostly increase
Maternal production,FHA,Total IgG,TdaP,130,95.4,4.6,1.213,0.00e+00,mostly increase
Maternal production,FHA,Total IgG,TT,153,56.9,43.1,0.015,2.71e-01,mixed
Maternal production,FHA,IgG1,Pooled,243,74.5,25.5,0.292,0.00e+00,mostly increase
Maternal production,FHA,IgG1,TdaP,112,97.3,2.7,1.298,0.00e+00,mostly increase
Maternal production,FHA,IgG1,TT,131,55.0,45.0,0.018,2.69e-01,mixed
Maternal production,FHA,IgG2,Pooled,231,45.0,33.3,0.000,1.14e-02,mixed
Maternal production,FHA,IgG2,TdaP,105,40.0,48.6,0.000,6.82e-01,mostly decrease
Maternal production,FHA,IgG2,TT,126,49.2,20.6,0.000,2.82e-05,mixed
Maternal production,FHA,IgG3,Pooled,237,58.6,38.8,0.044,0.00e+00,mixed
Maternal production,FHA,IgG3,TdaP,109,89.0,11.0,0.343,0.00e+00,mostly increase
Maternal production,FHA,IgG3,TT,128,32.8,62.5,-0.032,5.84e-04,mostly decrease
Maternal production,FHA,IgG4,Pooled,243,39.5,55.6,-0.026,9.98e-04,mostly decrease
Maternal production,FHA,IgG4,TdaP,112,23.2,75.9,-0.145,0.00e+00,mostly decrease
Maternal production,FHA,IgG4,TT,131,53.4,38.2,0.013,1.98e-02,mixed
Maternal production,PRN,Total IgG,Pooled,283,72.4,27.6,0.142,0.00e+00,mostly increase
Maternal production,PRN,Total IgG,TdaP,130,95.4,4.6,1.563,0.00e+00,mostly increase
Maternal production,PRN,Total IgG,TT,153,52.9,47.1,0.006,7.90e-01,mixed
Maternal production,PRN,IgG1,Pooled,243,67.9,30.9,0.100,0.00e+00,mostly increase
Maternal production,PRN,IgG1,TdaP,112,95.5,4.5,0.958,0.00e+00,mostly increase
Maternal production,PRN,IgG1,TT,131,44.3,53.4,-0.008,3.81e-01,mixed
Maternal production,PRN,IgG2,Pooled,231,59.7,38.5,0.025,0.00e+00,mixed
Maternal production,PRN,IgG2,TdaP,105,83.8,16.2,0.189,0.00e+00,mostly increase
Maternal production,PRN,IgG2,TT,126,39.7,57.1,-0.011,4.97e-02,mostly decrease
Maternal production,PRN,IgG3,Pooled,237,49.4,48.1,0.000,1.80e-01,mixed
Maternal production,PRN,IgG3,TdaP,109,74.3,24.8,0.086,1.00e-07,mostly increase
Maternal production,PRN,IgG3,TT,128,28.1,68.0,-0.035,5.00e-07,mostly decrease
Maternal production,PRN,IgG4,Pooled,243,59.3,29.2,0.013,0.00e+00,mixed
Maternal production,PRN,IgG4,TdaP,112,83.9,12.5,0.065,0.00e+00,mostly increase
Maternal production,PRN,IgG4,TT,131,38.2,43.5,0.000,1.56e-01,mostly decrease
Maternal production,FIM,Total IgG,Pooled,283,60.8,38.5,0.042,3.63e-05,mostly increase
Maternal production,FIM,Total IgG,TdaP,130,66.2,33.1,0.114,3.30e-06,mostly increase
Maternal production,FIM,Total IgG,TT,153,56.2,43.1,0.015,3.14e-01,mixed
Maternal production,TT,Total IgG,Pooled,283,48.1,51.9,-0.011,8.47e-01,mixed
Maternal production,TT,Total IgG,TdaP,130,41.5,58.5,-0.042,2.18e-02,mixed
Maternal production,TT,Total IgG,TT,153,53.6,46.4,0.030,1.53e-02,mixed
Maternal production,TT,IgG1,Pooled,243,48.6,51.4,-0.008,7.23e-01,mixed
Maternal production,TT,IgG1,TdaP,112,40.2,59.8,-0.034,3.59e-02,mixed
Maternal production,TT,IgG1,TT,131,55.7,44.3,0.014,1.77e-02,mixed
Maternal production,TT,IgG2,Pooled,231,58.4,40.7,0.016,4.08e-05,mixed
Maternal production,TT,IgG2,TdaP,105,50.5,49.5,0.002,4.17e-01,mixed
Maternal production,TT,IgG2,TT,126,65.1,33.3,0.043,1.80e-06,mostly increase
Maternal production,TT,IgG3,Pooled,237,38.8,58.2,-0.012,6.52e-05,mostly decrease
Maternal production,TT,IgG3,TdaP,109,33.0,65.1,-0.019,1.04e-05,mostly decrease
Maternal production,TT,IgG3,TT,128,43.8,52.3,-0.004,1.98e-01,mixed
Maternal production,TT,IgG4,Pooled,243,59.3,37.4,0.032,5.14e-05,mixed
Maternal production,TT,IgG4,TdaP,112,55.4,40.2,0.018,5.23e-02,mixed
Maternal production,TT,IgG4,TT,131,62.6,35.1,0.050,2.25e-04,mostly increase
Maternal production,DT,Total IgG,Pooled,283,58.0,42.0,0.041,8.00e-07,mixed
Maternal production,DT,Total IgG,TdaP,130,80.0,20.0,0.680,0.00e+00,mostly increase
Maternal production,DT,Total IgG,TT,153,39.2,60.8,-0.028,1.65e-03,mostly decrease
Maternal production,DT,IgG1,Pooled,243,51.0,46.5,0.007,1.08e-04,mixed
Maternal production,DT,IgG1,TdaP,112,80.4,18.8,0.549,0.00e+00,mostly increase
Maternal production,DT,IgG1,TT,131,26.0,70.2,-0.038,1.10e-06,mostly decrease
Maternal production,DT,IgG2,Pooled,231,58.9,29.9,0.033,0.00e+00,mixed
Maternal production,DT,IgG2,TdaP,105,79.0,17.1,0.264,0.00e+00,mostly increase
Maternal production,DT,IgG2,TT,126,42.1,40.5,0.000,5.02e-01,mixed
Maternal production,DT,IgG3,Pooled,237,46.8,40.5,0.000,5.52e-02,mixed
Maternal production,DT,IgG3,TdaP,109,67.0,25.7,0.056,7.00e-07,mostly increase
Maternal production,DT,IgG3,TT,128,29.7,53.1,-0.022,9.09e-04,mostly decrease
Maternal production,DT,IgG4,Pooled,243,54.7,37.4,0.023,4.05e-05,mixed
Maternal production,DT,IgG4,TdaP,112,79.5,16.1,0.295,0.00e+00,mostly increase
Maternal production,DT,IgG4,TT,131,33.6,55.7,-0.029,2.77e-03,mostly decrease
Placental transfer,PT,Total IgG,Pooled,283,75.6,24.4,0.092,0.00e+00,mostly increase
Placental transfer,PT,Total IgG,TdaP,130,77.7,22.3,0.122,0.00e+00,mostly increase
Placental transfer,PT,Total IgG,TT,153,73.9,26.1,0.069,0.00e+00,mostly increase
Placental transfer,PT,IgG1,Pooled,240,55.8,43.3,0.025,2.22e-01,mixed
Placental transfer,PT,IgG1,TdaP,111,64.9,35.1,0.051,6.19e-03,mostly increase
Placental transfer,PT,IgG1,TT,129,48.1,50.4,-0.003,3.73e-01,mixed
Placental transfer,PT,IgG2,Pooled,223,13.9,73.5,-0.058,0.00e+00,mostly decrease
Placental transfer,PT,IgG2,TdaP,102,10.8,85.3,-0.086,0.00e+00,mostly decrease
Placental transfer,PT,IgG2,TT,121,16.5,63.6,-0.031,0.00e+00,mostly decrease
Placental transfer,PT,IgG3,Pooled,234,21.8,71.4,-0.057,0.00e+00,mostly decrease
Placental transfer,PT,IgG3,TdaP,108,25.9,72.2,-0.062,2.00e-07,mostly decrease
